Index,Address,GPR,Area,Dwelling Units,LRA,Height control,Max dwelling units,Road setback,
315,CHANGI GREEN,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['UPPER CHANGI ROAD EAST', 'CAT2', 'Building â‰¤ 5 storeys\n12m (5m)Building â‰¥ 6 storeys\n15m (5m)']",
316,CHANTILLY RISE, , , , , , , ,
317,CHAPEL COURT,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']",
318,CHAPEL LODGE, , , , , , , ,
319,CHARISMA VIEW,1.99, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 8 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']",
320,CHARLESTON, , , , , , , ,
321,CHARLTON CORNER,Subject to detailed evaluation, , ,LRA requirements are not applicable to designated landed housing areas.,Subject to detailed evaluation,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['CHARLTON ROAD', 'CAT5', '7.5m (3m)']",
322,CHARMING GARDEN, , , , , , , ,
323,CHATEAU LE FAME,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,
324,CHELSEA GARDENS, , , , , , , ,
325,CHELSEA LODGE,3, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 4 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['GOODMAN ROAD', 'CAT5', '7.5m (3m)']",
326,CHEN FANG MANSIONS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,
327,CHERRY GARDENS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG LEW LIAN', 'CAT5', '7.5m (3m)']",
328,CHERRYHILL,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG LEW LIAN', 'CAT5', '7.5m (3m)']",
329,CHESTERVALE,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BANGKIT ROAD', 'CAT4', '7.5m (3m)']",
330,CHESTNUT-VILLE,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 3 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['', 'CAT5', '7.5m (0m)']",
331,CHIKU MANSIONS, , , , , , , ,
332,CHIVERTON,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']",
333,CHNG MANSIONS, , , , , , , ,
334,CHOON KIM HOUSE,3,"1,392.4 sqm",10,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['UPPER SERANGOON ROAD', 'CAT2', 'Building â‰¤ 5 storeys\n12m (5m)Building â‰¥ 6 storeys\n15m (5m)']",
335,CHOON MOEY MANSIONS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,
336,CHUAN GREEN,"GPR of buildings and/or structures, where allowed, is subject to evaluation", , ,LRA requirements are generally not applicable to private sector developments.,"Height of buildings and/or structures, where allowed, is subject to evaluation",Guideline on maximum allowable DUs is not applicable to non-residential developments.,"['', 'CAT5', '5m (3m)']",
337,CHUAN LOFT,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 2 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines., ,
338,CHUAN PARK,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']",
339,CHUAN SEVEN,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 2 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['', 'CAT5', '7.5m (0m)']",
340,CHUNG CHIN FLATS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,
341,CITIGATE RESIDENCE, , , , , , , ,
342,CITY EDGE,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'NCAT', '7.5m (3m)']",
343,CITY GATE,Subject to detailed evaluation,"7,268.9 sqm",311,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BEACH ROAD', 'NCAT', '7.5m (3m)']",
344,CITY LOFT,3, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 6 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['RACE COURSE ROAD', 'NCAT', '7.5m (3m)']",
345,CITY REGENCY,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","[""ST. MICHAEL'S ROAD"", 'CAT5', '7.5m (3m)']",
346,CITY SQUARE RESIDENCES,Subject to detailed evaluation,"14,619.6 sqm",0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['KITCHENER ROAD', 'NCAT', '7.5m (3m)']",
347,CITY SUITES, , , , , , , ,
348,CITYLIFE @ TAMPINES,2.8,"20,750.5 sqm",-,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['TAMPINES AVENUE 9', 'CAT3', 'Building â‰¤ 5 storeys\n7.5m (3m)Building â‰¥ 6 storeys\n10m (3m)']",
349,CITYLIFE@TAMPINES,2.8,"20,750.5 sqm",-,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['TAMPINES AVENUE 9', 'CAT3', 'Building â‰¤ 5 storeys\n7.5m (3m)Building â‰¥ 6 storeys\n10m (3m)']",
351,CITYSCAPE @ FARRER PARK,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 104m SHD,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['MERGUI ROAD', 'NCAT', '7.5m (3m)']",
352,CITYVISTA RESIDENCES,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 20 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['PECK HAY ROAD', 'NCAT', '7.5m (3m)']",
353,CLAREMONT,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 10 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['RIVER VALLEY ROAD', 'NCAT', '7.5m (3m)']",
354,CLEMENTI PARK,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']",
355,CLEMENTIWOODS CONDOMINIUM,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,
356,CLIFTEN,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']",
357,CLIVEDEN AT GRANGE, , , , , , , ,
358,CLOVER PARK,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 2 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['', 'CAT5', '7.5m (0m)']",
359,CLUNY PARK RESIDENCE,1.4,"4,543.6 sqm",52,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['FARRER ROAD', 'CAT2', 'Building â‰¤ 5 storeys\n12m (5m)Building â‰¥ 6 storeys\n15m (5m)']",
360,CLYDES RESIDENCE,3, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 104m SHD,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['MERGUI ROAD', 'NCAT', '7.5m (3m)']",
361,COASTAL BREEZE RESIDENCES, , , , , , , ,
362,COASTAL VIEW RESIDENCES,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['JALAN LOYANG BESAR', 'CAT5', '7.5m (3m)']",
363,COASTARINA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,
364,COCO PALMS,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['PASIR RIS GROVE', 'CAT4', '7.5m (3m)']",
365,COMMONWEALTH TOWERS, , , , , , , ,
366,COMPASS HEIGHTS,4.2,"27,067.3 sqm",0,This site falls within Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['SENGKANG EAST WAY', 'CAT3', 'Building â‰¤ 5 storeys\n7.5m (3m)Building â‰¥ 6 storeys\n10m (3m)']",
367,CORALIS, , , , , , , ,
368,CORALS AT KEPPEL BAY,Subject to detailed evaluation,"38,829.7 sqm",366,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,
369,CORONA VILLE,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 3 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines., ,
370,CORONATION ARCADE,3, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['CORONATION ROAD', 'CAT5', '7.5m (3m)']",
371,CORONATION GROVE, , , , , , , ,
372,CORONATION SHOPPING PLAZA,3, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['CORONATION WALK', 'CAT5', '7.5m (3m)']",
373,COSMO,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,
